,area_type,availability,location,total_sqft,bath,price,bhk
1,Super built-up  Area,Ready To Move,Electronic City,1025.0,2.0,47.0,3
4,Super built-up  Area,Ready To Move,Electronic City,1500.0,2.0,64.5,3
5,Built-up  Area,Ready To Move,Electronic City,1060.0,2.0,60.0,2
6,Super built-up  Area,Available Soon,Electronic City,1152.0,2.0,64.5,2
8,Built-up  Area,Ready To Move,Electronic City,770.0,1.0,36.0,2
9,Super built-up  Area,Ready To Move,Electronic City,1070.0,2.0,52.0,2
10,Built-up  Area,Ready To Move,Electronic City,1025.0,2.0,46.0,2
11,Super built-up  Area,Ready To Move,Electronic City,589.0,1.0,27.0,1
13,Super built-up  Area,Ready To Move,Electronic City,910.0,2.0,40.0,2
14,Super built-up  Area,Available Soon,Electronic City,1108.0,2.0,63.0,2
15,Super built-up  Area,Available Soon,Electronic City,1128.0,2.0,65.0,2
16,Super built-up  Area,Ready To Move,Electronic City,1800.0,3.0,95.0,3
17,Built-up  Area,Available Soon,Electronic City,630.0,1.0,34.65,1
18,Super built-up  Area,Available Soon,Electronic City,1128.0,2.0,63.0,2
19,Super built-up  Area,Available Soon,Electronic City,1599.0,3.0,99.0,3
22,Super built-up  Area,Ready To Move,Electronic City,1070.0,2.0,55.0,2
23,Super built-up  Area,Ready To Move,Electronic City,940.0,2.0,41.0,2
25,Super built-up  Area,Available Soon,Electronic City,1128.0,2.0,68.75,2
26,Super built-up  Area,Available Soon,Electronic City,1342.0,2.0,73.3,2
27,Super built-up  Area,Ready To Move,Electronic City,1360.0,2.0,71.0,3
29,Super built-up  Area,Available Soon,Electronic City,1265.0,2.0,56.93,2
30,Super built-up  Area,Available Soon,Electronic City,1691.0,2.0,102.0,3
31,Super built-up  Area,Available Soon,Electronic City,1128.0,2.0,65.49,2
34,Super built-up  Area,Ready To Move,Electronic City,1070.0,2.0,56.1,2
35,Plot  Area,Ready To Move,Electronic City,2000.0,4.0,120.0,4
36,Built-up  Area,Ready To Move,Electronic City,890.0,2.0,45.0,2
37,Super built-up  Area,Available Soon,Electronic City,1128.0,2.0,65.65,2
38,Built-up  Area,Ready To Move,Electronic City,865.0,2.0,42.0,2
40,Super built-up  Area,Ready To Move,Electronic City,910.0,2.0,42.0,2
42,Built-up  Area,Ready To Move,Electronic City,1360.0,2.0,75.0,3
43,Super built-up  Area,Ready To Move,Electronic City,770.0,1.0,40.0,2
44,Super built-up  Area,Ready To Move,Electronic City,1128.0,2.0,64.0,2
45,Super built-up  Area,Ready To Move,Electronic City,1070.0,2.0,54.0,2
